element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Br,4,119.8714,0.0010,119.8762+,100,,,142409.6,225829.0,4s.4p3,3P,2,4s2.4p.5p,1D,2,,,L1157,
Br,1,120.9756,0.0004,120.97520+,800,,,0.00,82661.57,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).6s,2[2],3/2,,,L351,
Br,1,121.0734,0.0004,121.07392+,1000,,,3685.24,86279.41,4s2.4p5,2P*,1/2,4s2.4p4.(3P<0>).6s,2[0],1/2,,,L351,
Br,1,121.6006,0.0004,121.60099+,750,,,0.00,82236.17,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).6s,2[2],5/2,,,L351,
Br,1,122.1128,0.0004,122.11251+,1000,,,3685.24,85576.93,4s2.4p5,2P*,1/2,4s2.4p4.(3P<1>).6s,2[1],1/2,,,L351,
Br,1,122.1870,0.0004,122.18662+,900,,,0.00,81842.02,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).4d,2[2],3/2,,,L351,
Br,1,122.3240,0.0004,122.32402+,1000,,,3685.24,85435.33,4s2.4p5,2P*,1/2,4s2.4p4.(3P<1>).6s,2[1],3/2,,,L351,
Br,1,122.4408,0.0004,122.44056+,1200,,,0.00,81672.28,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).4d,2[2],5/2,,,L351,
Br,1,122.6899,0.0004,122.68983+,1200,,,3685.24,85191.59,4s2.4p5,2P*,1/2,4s2.4p4.(3P<0>).4d,2[2],3/2,,,L351,
Br,4,122.8041,0.0010,122.8023+,600,,,2622.0,84053.7,4s2.4p2,3P,1,4s.4p3,5S,2,,,L1157,
Br,1,122.8049,0.0004,122.80491+,750,,,0.00,81429.97,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).4d,2[0],1/2,,,L351,
Br,1,123.2431,0.0004,123.24323+,7500,,,3685.24,84825.60,4s2.4p5,2P*,1/2,4s.4p6,2S,1/2,,,L351,
Br,1,124.3897,0.0004,124.39005+,1200,,,3685.24,84077.52,4s2.4p5,2P*,1/2,4s2.4p4.(3P<1>).4d,2[2],3/2,,,L351,
Br,1,124.9589,0.0004,124.95876+,800,,,0.00,80026.40,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).4d,2[1],1/2,,,L351,
Br,1,125.1664,0.0004,125.16700+,1500,,,3685.24,83578.50,4s2.4p5,2P*,1/2,4s2.4p4.(3P<1>).4d,2[1],3/2,,,L351,
Br,1,125.5799,0.0004,125.57975+,1000,,,0.00,79630.67,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).4d,2[1],3/2,,,L351,
Br,1,125.9199,0.0004,125.91945+,1500,,,3685.24,83101.09,4s2.4p5,2P*,1/2,4s2.4p4.(3P<1>).4d,2[1],1/2,,,L351,
Br,1,126.1658,0.0004,126.16560+,1200,,,0.00,79260.91,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).4d,2[3],5/2,,,L351,
Br,4,126.3673,0.0010,126.3716+,800,,,139702.3,218834.0,4s.4p3,3P,0,4s2.4p.5p,3P,1,,,L1157,
Br,4,126.5949,0.0010,126.5980+,50,,,142409.6,221399.8,4s.4p3,3P,2,4s2.4p.5p,3P,2,,,L1157,
Br,1,126.6200,0.0004,126.62022+,1200,,,3685.24,82661.57,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).6s,2[2],3/2,,,L351,
Br,4,126.6290,0.0010,126.6297+,500,,,143933.8,222904.2,4s.4p3,1D,2,4s2.4p.5p,3S,1,,,L1157,
Br,4,127.4822,0.0010,127.4831+,900,,,5611.9,84053.7,4s2.4p2,3P,2,4s.4p3,5S,2,,,L1157,
