element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ga,4,53.2884,0.0010,53.289+,25,,,229140.3,416796,3d9.4p,3P*,0,3d9.6s,"(3/2,1/2)",1,,,L12180,
Ga,4,53.4919,0.0010,53.493+,25,,,230040.0,416982,3d9.4p,3F*,2,3d9.6s,"(3/2,1/2)",2,,,L12180,
Ga,4,53.5452,0.0010,53.546+,40,,,230040.0,416796,3d9.4p,3F*,2,3d9.6s,"(3/2,1/2)",1,,,L12180,
Ga,3,53.5890,0.0010,53.589+,80,,,0.00,186605,3d10.4s,2S,1/2,3d9.(2D).4s.4p.(3P*),4P*,3/2,,,L12180,
Ga,4,53.5949,0.0010,53.596+,25,,,227320.4,413902,3d9.4p,3P*,1,3d9.5d,3F,2,,,L12180,
Ga,4,53.6647,0.0010,53.665+,35,,,227320.4,413661,3d9.4p,3P*,1,3d9.6s,"(5/2,1/2)",2,,,L12180,
Ga,4,53.7002,0.0010,53.700+,20,,,227681.2,413902,3d9.4p,3F*,3,3d9.5d,3F,2,,,L12180,
Ga,4,53.7200,0.0010,53.720+,20,,,227681.2,413832,3d9.4p,3F*,3,3d9.5d,3F,3,,,L12180,
Ga,4,53.7691,0.0010,53.769+,30,,,227681.2,413661,3d9.4p,3F*,3,3d9.6s,"(5/2,1/2)",2,,,L12180,
Ga,4,53.8033,0.0010,53.803+,20,,,224243.3,410107,3d9.4p,3P*,2,3d9.5d,1F,3,,,L12180,
Ga,4,53.8534,0.0010,53.85*,10,,,227320.4,413010,3d9.4p,3P*,1,3d9.5d,3D,1,,,L12180,
Ga,4,53.9160,0.0010,53.916+,20,,,224243.3,409716,3d9.4p,3P*,2,3d9.5d,3D,3,,,L12180,
Ga,4,53.9407,0.0010,53.940+,20,,,227681.2,413074,3d9.4p,3F*,3,3d9.5d,1G,4,,,L12180,
Ga,4,54.0321,0.0010,54.032+,45,,,224243.3,409319,3d9.4p,3P*,2,3d9.5d,3P,2,,,L12180,
Ga,4,54.0360,0.0010,54.037+,35,,,224243.3,409303,3d9.4p,3P*,2,3d9.5d,1P,1,,,L12180,
Ga,4,54.0770,0.0010,54.077+,25,,,227320.4,412243,3d9.4p,3P*,1,3d9.5d,3P,1,,,L12180,
Ga,4,54.0894,0.0010,54.089+,20,,,228952.8,413832,3d9.4p,3F*,4,3d9.5d,3F,3,,,L12180,
Ga,4,54.2795,0.0010,54.279+,50,,,228952.8,413187,3d9.4p,3F*,4,3d9.6s,"(5/2,1/2)",3,,,L12180,
Ga,4,54.3878,0.0010,54.389+,35*,,,230040.0,413902,3d9.4p,3F*,2,3d9.5d,3F,2,,,L12180,
Ga,4,54.3878,0.0010,54.39*,35*,,,229140.3,413010,3d9.4p,3P*,0,3d9.5d,3D,1,,,L12180,
Ga,4,54.4094,0.0010,54.410+,40,,,233192.3,416982,3d9.4p,1F*,3,3d9.6s,"(3/2,1/2)",2,,,L12180,
Ga,4,54.4299,0.0010,54.430+,25,,,227320.4,411044,3d9.4p,3P*,1,3d9.5d,3P,0,,,L12180,
Ga,4,54.4602,0.0010,54.460+,40,,,230040.0,413661,3d9.4p,3F*,2,3d9.6s,"(5/2,1/2)",2,,,L12180,
Ga,4,54.4656,0.0010,54.465+,40,,,224243.3,407846,3d9.4p,3P*,2,3d9.5d,3S,1,,,L12180,
Ga,4,54.5181,0.0010,54.518+,15,,,236311.9,419737,3d9.4p,1P*,1,3d9.5d,1S,0,,,L12180,
