element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Al,2,331.4883,331.4881,0.0010,40,1.18e+06,C,95550.51,125708.828,3s.3d,3D,2,3s.5p,3P*,1,,"T6298c4,LS",L3515,
Al,2,331.4981,331.4983,0.0010,1,3.94e+05,D,95551.44,125708.828,3s.3d,3D,1,3s.5p,3P*,1,,"T6298c4,LS",L3515,
Al,2,331.5516,331.5506,0.0010,2,,,95550.51,125703.14,3s.3d,3D,2,3s.5p,3P*,0,,,L3515,
Al,2,331.5608,331.5608,0.0010,10,1.58e+06,D,95551.44,125703.14,3s.3d,3D,1,3s.5p,3P*,0,,"T6298c4,LS",L3515,
Al,4,331.6546,331.654,0.010,200,,,828498.8,858642.0,2s2.2p5.(2P*<1/2>).4p,2[1/2],1,2s2.2p5.(2P*<1/2>).4d,2[3/2]*,1,,,L2829,
Al,4,333.2962,333.295,0.010,300,,,825277.9,855272.7,2s2.2p5.(2P*<3/2>).4p,2[3/2],1,2s2.2p5.(2P*<3/2>).4d,2[3/2]*,1,,,L2829,
Al,4,334.446,334.447,0.010,400,,,824080.0,853971.5,2s2.2p5.(2P*<3/2>).4p,2[5/2],3,2s2.2p5.(2P*<3/2>).4d,2[5/2]*,3,,,L2829,
Al,3,334.8517,334.8513,0.0010,9,1.88e+07,A+,165786.32,195641.74,2p6.4d,2D,5/2,2p6.6p,2P*,3/2,,c32,L277,
Al,3,335.0885,335.0894,0.0010,8,2.07e+07,A+,165787.51,195621.72,2p6.4d,2D,3/2,2p6.6p,2P*,1/2,,c32,L277,
Al,2,335.1462,335.1462,0.0010,50,1.04e+07,C,110089.83,139918.98,3s.3d,1D,2,3s.7p,1P*,1,,T6533,L4575,
Al,4,342.3125,342.312,0.010,350,,,824544.7,853749.4,2s2.2p5.(2P*<3/2>).4p,2[5/2],2,2s2.2p5.(2P*<3/2>).4d,2[5/2]*,2,,,L2829,
Al,2,342.8894,342.8900,0.0010,30,5.78e+06,C+,110089.83,139245.343,3s.3d,1D,2,3s.6f,1F*,3,,T6533,L4575,
Al,1,343.9347,343.9346,0.0010,6g,,,0.000,29066.96,3s2.3p,2P*,1/2,3s.3p2,4P,3/2,,,L4737,
