element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ac,2,353.3980,0.0013,353.3976,0.0009,2100h,8.2e+07,C+,26446.928,54735.58,6d.7p,3F*,2,6d.8s,3D,1,,T10463,L7344,
Ac,2,353.4630,0.0006,353.4631,0.0004,35000,4.75e+07,C+,16756.847,45040.26,6d2,3F,4,5f.6d,3F*,4,,T10463,L7344,
Ac,2,354.5441,0.0006,354.5445,0.0003,1800,,,26446.928,54644.074,6d.7p,3F*,2,5f.7p,3G,3,,,L7344,
Ac,2,354.6830,0.0006,354.6838,0.0003,2300,6.4e+06,E,26446.928,54633.000,6d.7p,3F*,2,6d.8s,3D,2,,T10463,L7344,
Ac,2,354.7070,0.0015,354.7037,0.0005,650,,,35397.115,63581.61,5f.7s,3F*,2,6d.7d,3F,3,,,L7344,
Ac,1,354.9470,0.0004,354.94739,0.00004,140,,,2231.432,30396.575,6d.7s2,2D,5/2,6d2.(3F).7p,4F*,3/2,,,L7344,
Ac,2,355.2550,0.0013,355.2553,0.0006,1800hl,9.7e+07,C+,36144.291,64285.02,5f.7s,3F*,3,6d.7d,3F,4,,T10463,L7344,
Ac,2,355.4990,0.0006,355.4994,0.0003,90000,3.44e+07,C+,5267.147,33388.554,6d.7s,3D,2,6d.7p,3D*,1,,T10463,L7344,
Ac,2,356.2330,0.0006,356.2335,0.0003,4200,4.9e+07,C+,29881.055,57944.517,6d.7p,3F*,3,5f.7p,3F,3,,T10463,L7344,
Ac,2,356.5590,0.0006,356.55969,0.00023,310000,9.0e+07,C+,5267.147,33304.935,6d.7s,3D,2,6d.7p,3D*,2,,T10463,L7344,
Ac,2,357.9530,0.0006,357.9529,0.0004,3200hl,4.8e+07,C+,31878.854,59807.52,6d.7p,1D*,2,6d.7d,1F,3,,T10463,L7344,
Ac,2,358.3550,0.0006,358.3557,0.0004,4500hl,8.0e+07,C+,31174.565,59071.84,5f.7s,1F*,3,5f.7p,1F,3,,T10463,L7344,
Ac,2,358.5090,0.0006,358.50836,0.00024,5100,4.8e+06,D+,9087.517,36972.910,6d.7s,1D,2,6d.7p,3D*,3,,T10463,L7344,
Ac,2,358.8310,0.0006,358.8319,0.0004,950,,,22199.428,50059.68,6d2,1D,2,5f.6d,3D*,3,,,L7344,
Ac,2,359.5750,0.0006,359.5749,0.0004,3300,1.58e+07,C+,29881.055,57683.74,6d.7p,3F*,3,5f.7p,3G,4,,T10463,L7344,
Ac,2,360.0240,0.0006,360.02453,0.00025,820,,,9087.517,36855.480,6d.7s,1D,2,6d.7p,3P*,1,,,L7344,
Ac,2,364.3621,0.0006,364.3633,0.0004,1900hl,7.8e+07,C+,36144.291,63581.61,5f.7s,3F*,3,6d.7d,3F,3,,T10463,L7344,
Ac,1,364.4420,0.0013,,,83,,,,,,,,,,,,,L7344,
Ac,1,365.3490,0.0013,,,41,,,,,,,,,,,,,L7344,
Ac,2,366.0320,0.0013,366.0337,0.0007,750h,1.87e+07,C+,36972.910,64285.02,6d.7p,3D*,3,6d.7d,3F,4,,T10463,L7344,
Ac,2,366.2040,0.0013,366.2037,0.0011,840h,8.2e+06,D+,36855.480,64154.91?,6d.7p,3P*,1,6d.7d,1D,2,,T10463,L7344,
Ac,1,366.2350,0.0013,,,100,,,,,,,,,,,,,L7344,
Ac,2,366.4690,0.0006,366.4697,0.0004,1600,3.4e+06,E,22199.428,49479.04,6d2,1D,2,5f.6d,3D*,2,,T10463,L7344,
Ac,2,366.9880,0.0013,366.9879,0.0007,700h,4.5e+06,E,29250.366,56491.46,6d.7p,1P*,1,7s.7d,1D,2,,T10463,L7344,
