element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Er,2,327.933,,720,,,,,,,,,,,,,L3475,
Er,2,328.022,,720,,,,,,,,,,,,,L3475,
Er,2,328.677,,470,,,,,,,,,,,,,L3475,
Er,3,330.123,,2000,,,,,,,,,,,,,L1925,
Er,2,330.388,,330bl,,,,,,,,,,,,,L3475,
Er,2,330.556,,370,,,,,,,,,,,,,L3475,
Er,2,331.242,331.24259+,2300,3.7e+07,,440.434,30621.102,4f12.(3H<6>).6s<1/2>,"(6,1/2)",11/2,4f12.(3H<6>).6p<3/2>?,"(6,3/2)*?",13/2,,T6288,L3475,
Er,2,331.639,,560,,,,,,,,,,,,,L3475,
Er,2,332.319,,770,,,,,,,,,,,,,L3475,
Er,2,332.966,,290,,,,,,,,,,,,,L3475,
Er,2,333.270,,770,,,,,,,,,,,,,L3475,
Er,2,333.725,,370,,,,,,,,,,,,,L3475,
Er,2,333.779,,290,,,,,,,,,,,,,L3475,
Er,2,334.003,,250,,,,,,,,,,,,,L3475,
Er,3,334.100,,8,,,,,,,,,,,,,L1925,
Er,2,334.184,,290,,,,,,,,,,,,,L3475,
Er,2,334.604,,1300,,,,,,,,,,,,,L3475,
Er,2,335.006,,470,,,,,,,,,,,,,L3475,
Er,2,335.026,,350,,,,,,,,,,,,,L3475,
Er,2,336.408,,1400,,,,,,,,,,,,,L3475,
Er,2,336.802,,1400bl,,,,,,,,,,,,,L3475,
Er,2,337.055,,450,,,,,,,,,,,,,L3475,
Er,2,337.271,337.27522+,7700,1.3e+08,,0.000,29640.863,4f12.(3H<6>).6s<1/2>,"(6,1/2)",13/2,4f12.(3H<6>).6p<3/2>?,"(6,3/2)*?",15/2,,T6288,L3475,
Er,2,337.417,,970,,,,,,,,,,,,,L3475,
Er,2,338.132,,290,,,,,,,,,,,,,L3475,
Er,1,338.206,,230,,,,,,,,,,,,,L3475,
Er,2,338.508,,1700,,,,,,,,,,,,,L3475,
Er,2,338.974,,450,,,,,,,,,,,,,L3475,
Er,2,339.200,339.19865+,2300,2.35e+07,,0.000,29472.789,4f12.(3H<6>).6s<1/2>,"(6,1/2)",13/2,,*,15/2,,T6288,L3475,
Er,2,339.607,,350,,,,,,,,,,,,,L3475,
Er,2,339.684,,290,,,,,,,,,,,,,L3475,
Er,2,340.183,,390,,,,,,,,,,,,,L3475,
Er,2,341.763,,350,,,,,,,,,,,,,L3475,
Er,2,342.839,,490,,,,,,,,,,,,,L3475,
Er,2,344.113,,770,,,,,,,,,,,,,L3475,
Er,1,344.268,,390,,,,,,,,,,,,,L3475,
Er,1,346.951,,490,,,,,,,,,,,,,L3475,
Er,2,347.171,,970,,,,,,,,,,,,,L3475,
Er,2,347.941,,610,,,,,,,,,,,,,L3475,
Er,3,348.054,,200,,,,,,,,,,,,,L1925,
Er,2,348.585,,970,,,,,,,,,,,,,L3475,
Er,2,348.682,,350,,,,,,,,,,,,,L3475,
Er,2,349.686,,350,,,,,,,,,,,,,L3475,
Er,2,349.910,349.91027+,6700,7.5e+07,,440.434,29011.015,4f12.(3H<6>).6s<1/2>,"(6,1/2)",11/2,4f12.(3H<6>).6p<3/2>?,"(6,3/2)*?",9/2,,T6288,L3475,
Er,1,350.278,,610,,,,,,,,,,,,,L3475,
Er,2,350.838,,390,,,,,,,,,,,,,L3475,
Er,2,351.489,,490,,,,,,,,,,,,,L3475,
Er,2,351.818,,390,,,,,,,,,,,,,L3475,
Er,2,352.491,,610,,,,,,,,,,,,,L3475,
Er,1,353.959,,410,,,,,,,,,,,,,L3475,
Er,2,354.826,,310,,,,,,,,,,,,,L3475,
Er,2,354.984,,820,,,,,,,,,,,,,L3475,
Er,2,355.320,,310,,,,,,,,,,,,,L3475,
Er,1,355.802,,1500,,,,,,,,,,,,,L3475,
Er,1,355.871,,510,,,,,,,,,,,,,L3475,
Er,2,355.990,,1000,,,,,,,,,,,,,L3475,
Er,1,356.517,,310,,,,,,,,,,,,,L3475,
Er,2,357.075,,920,,,,,,,,,,,,,L3475,
Er,1,357.824,,310,,,,,,,,,,,,,L3475,
Er,2,358.052,,1000,,,,,,,,,,,,,L3475,
Er,1,358.660,,370,,,,,,,,,,,,,L3475,
Er,1,359.076,,610,,,,,,,,,,,,,L3475,
Er,3,359.296,,8,,,,,,,,,,,,,L1925,
Er,1,359.584,,410,,,,,,,,,,,,,L3475,
Er,2,359.950,,610,,,,,,,,,,,,,L3475,
Er,2,359.983,,1000,,,,,,,,,,,,,L3475,
Er,2,360.490,,510,,,,,,,,,,,,,L3475,
Er,1,360.742,,410,,,,,,,,,,,,,L3475,
Er,2,361.656,361.65658+,3100,2.0e+07,,0.000,27642.658,4f12.(3H<6>).6s<1/2>,"(6,1/2)",13/2,,*,11/2,,T6288,L3475,
Er,2,361.785,,510,,,,,,,,,,,,,L3475,
Er,2,361.892,,510,,,,,,,,,,,,,L3475,
Er,1,362.804,,720,,,,,,,,,,,,,L3475,
Er,1,362.937,,310,,,,,,,,,,,,,L3475,
Er,2,363.354,,1000,,,,,,,,,,,,,L3475,
Er,1,363.467,,510,,,,,,,,,,,,,L3475,
Er,1,363.868,,1600,,,,,,,,,,,,,L3475,
Er,2,364.594,,900,,,,,,,,,,,,,L3475,
Er,2,365.041,,520,,,,,,,,,,,,,L3475,
Er,2,365.258,,360,,,,,,,,,,,,,L3475,
Er,2,365.287,,500,,,,,,,,,,,,,L3475,
Er,1,366.445,,360,,,,,,,,,,,,,L3475,
Er,2,366.902,,470,,,,,,,,,,,,,L3475,
Er,2,368.270,,500,,,,,,,,,,,,,L3475,
