element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Pm,1,462.157,,500,,,,,,,,,,,,,L4514c1,
Pm,1,462.331,,500,,,,,,,,,,,,,L4514c1,
Pm,1,462.368,,700r,,,,,,,,,,,,,L4514c1,
Pm,1,462.441,,900,,,,,,,,,,,,,L4514c1,
Pm,1,462.529,,500r,,,,,,,,,,,,,L4514c1,
Pm,1,462.760,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,463.093,,200,,,,,,,,,,,,,L4514c1,
Pm,1,463.345,,600r,,,,,,,,,,,,,L4514c1,
Pm,1,464.096,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,464.336,,700r,,,,,,,,,,,,,L4514c1,
Pm,1,464.376,,700r,,,,,,,,,,,,,L4514c1,
Pm,1,464.594,,400,,,,,,,,,,,,,L4514c1,
Pm,1,464.703,,600r,,,,,,,,,,,,,L4514c1,
Pm,1,465.042,,600r,,,,,,,,,,,,,L4514c1,
Pm,1,465.052,,500,,,,,,,,,,,,,L4514c1,
Pm,1,465.341,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,465.450,,400,,,,,,,,,,,,,L4514c1,
Pm,1,465.505,,500r,,,,,,,,,,,,,L4514c1,
Pm,1,465.938,,300,,,,,,,,,,,,,L4514c1,
Pm,1,466.079,,500r,,,,,,,,,,,,,L4514c1,
Pm,1,466.326,,300r,,,,,,,,,,,,,L4514c1,
Pm,1,466.346,,600r,,,,,,,,,,,,,L4514c1,
Pm,1,466.519,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,467.123,,500r,,,,,,,,,,,,,L4514c1,
Pm,1,467.176,,400,,,,,,,,,,,,,L4514c1,
Pm,1,467.442,,500r,,,,,,,,,,,,,L4514c1,
Pm,1,467.746,,200,,,,,,,,,,,,,L4514c1,
Pm,1,467.792,,500r,,,,,,,,,,,,,L4514c1,
Pm,1,467.809,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,468.292,,700r,,,,,,,,,,,,,L4514c1,
Pm,1,469.680,,500r,,,,,,,,,,,,,L4514c1,
Pm,1,469.951,,200,,,,,,,,,,,,,L4514c1,
Pm,2,472.206,,250,,,,,,,,,,,,,u8,
Pm,1,472.706,,300,,,,,,,,,,,,,L4514c1,
Pm,1,472.836,,900r,,,,,,,,,,,,,L4514c1,
Pm,1,472.868,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,473.427,473.427+,800r,,,803.82,21920.49,4f5.6s2,6H*,7/2,,,9/2,,,L4514c1,
Pm,1,473.799,,200r,,,,,,,,,,,,,L4514c1,
Pm,2,473.908,,100,,,,,,,,,,,,,u8,
Pm,1,473.978,,200,,,,,,,,,,,,,L4514c1,
Pm,1,474.513,,350r,,,,,,,,,,,,,L4514c1,
Pm,1,475.773,,500r,,,,,,,,,,,,,L4514c1,
Pm,1,475.900,475.900+,800r,,,5089.79,26096.75,4f5.6s2,6H*,15/2,,,17/2,,,L4514c1,
Pm,1,476.257,476.257+,700r,,,5089.79,26080.99,4f5.6s2,6H*,15/2,,,17/2,,,L4514c1,
Pm,1,477.346,477.346+,700r,,,2797.10,23740.42,4f5.6s2,6H*,11/2,,,13/2,,,L4514c1,
Pm,1,478.129,,900r,,,,,,,,,,,,,L4514c1,
Pm,1,479.459,,250,,,,,,,,,,,,,L4514c1,
Pm,1,479.543,,200,,,,,,,,,,,,,L4514c1,
Pm,1,479.898,479.898+,700r,,,2797.10,23629.06,4f5.6s2,6H*,11/2,,,13/2,,,L4514c1,
Pm,1,480.136,480.136+,900r,,,803.82,21625.45,4f5.6s2,6H*,7/2,,,9/2,,,L4514c1,
Pm,1,480.954,,700r,,,,,,,,,,,,,L4514c1,
Pm,1,481.196,481.185+,900r,,,7497.99,28274.21,4f5.6s2,6F*,9/2,,,9/2,,,L4514c1,
Pm,1,481.712,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,482.772,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,483.766,483.766+,800r,,,1748.78,22414.17,4f5.6s2,6H*,9/2,,,11/2,,,L4514c1,
Pm,1,483.892,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,483.962,,300,,,,,,,,,,,,,L4514c1,
Pm,1,484.401,,200,,,,,,,,,,,,,L4514c1,
Pm,1,485.273,,350r,,,,,,,,,,,,,L4514c1,
Pm,1,486.062,486.075+,400r,,,803.82,21371.05,4f5.6s2,6H*,7/2,,,7/2,,,L4514c1,
Pm,1,486.074,,700r,,,,,,,,,,,,,L4514c1,
Pm,1,486.530,,300r,,,,,,,,,,,,,L4514c1,
Pm,1,486.572,,500r,,,,,,,,,,,,,L4514c1,
Pm,1,486.980,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,487.242,,700r,,,,,,,,,,,,,L4514c1,
Pm,1,488.702,,500r,,,,,,,,,,,,,L4514c1,
Pm,1,489.252,489.252+,700r,,,803.82,21237.49,4f5.6s2,6H*,7/2,,,9/2,,,L4514c1,
Pm,1,490.030,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,490.428,,300r,,,,,,,,,,,,,L4514c1,
Pm,1,491.828,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,493.299,493.300+,600r,,,0.00,20265.98,4f5.6s2,6H*,5/2,,,5/2,,,L4514c1,
Pm,1,495.946,495.946+,700r,,,0.00,20157.85,4f5.6s2,6H*,5/2,,,7/2,,,L4514c1,
Pm,2,497.140,,100,,,,,,,,,,,,,u8,
Pm,1,499.710,499.710+,500r,,,0.00,20006.04,4f5.6s2,6H*,5/2,,,3/2,,,L4514c1,
Pm,1,503.080,,200r,,,,,,,,,,,,,L4514c1,
Pm,1,505.831,505.831+,300r,,,803.82,20567.76,4f5.6s2,6H*,7/2,,,5/2,,,L4514c1,
Pm,2,506.735,,100,,,,,,,,,,,,,u8,
Pm,2,508.052,,150,,,,,,,,,,,,,u8,
Pm,2,508.935,,150,,,,,,,,,,,,,u8,
Pm,1,509.242,,200,,,,,,,,,,,,,L4514c1,
Pm,1,509.483,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,509.618,,200,,,,,,,,,,,,,L4514c1,
Pm,2,509.730,,150,,,,,,,,,,,,,u8,
Pm,1,510.077,,400r,,,,,,,,,,,,,L4514c1,
Pm,2,512.147,,250,,,,,,,,,,,,,u8,
Pm,1,512.734,512.734+,400r,,,2797.10,22294.96,4f5.6s2,6H*,11/2,,,9/2,,,L4514c1,
Pm,1,512.975,,200,,,,,,,,,,,,,L4514c1,
Pm,1,514.513,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,514.630,514.630+,500r,,,3919.03,23345.07,4f5.6s2,6H*,13/2,,,11/2,,,L4514c1,
Pm,2,515.386,,400,,,,,,,,,,,,,u8,
Pm,2,516.971,,300,,,,,,,,,,,,,u8,
Pm,2,517.158,,500,,,,,,,,,,,,,u8,
Pm,2,519.405,,300,,,,,,,,,,,,,u8,
Pm,2,520.809,,500,,,,,,,,,,,,,u8,
Pm,2,521.596,,150,,,,,,,,,,,,,u8,
Pm,2,522.512,,250,,,,,,,,,,,,,u8,
Pm,2,523.626,,500,,,,,,,,,,,,,u8,
Pm,2,523.666,,300,,,,,,,,,,,,,u8,
Pm,2,524.633,,400,,,,,,,,,,,,,u8,
Pm,2,526.242,,150,,,,,,,,,,,,,u8,
Pm,2,527.064,,500,,,,,,,,,,,,,u8,
Pm,2,529.392,,200,,,,,,,,,,,,,u8,
Pm,2,530.886,,100,,,,,,,,,,,,,u8,
Pm,2,531.858,,150,,,,,,,,,,,,,u8,
Pm,2,541.045,,200,,,,,,,,,,,,,u8,
Pm,2,542.454,,200,,,,,,,,,,,,,u8,
