element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
F,1,359.4103,0.0010,359.4104+,6,,,102405.71,130221.12,2s2.2p4.(3P).3s,4P,5/2,2s2.2p4.(3P).4p,4S*,3/2,,,L7481,
F,2,359.869,0.010,,170,,,,,,,,,,,,,L369,
F,2,360.139,0.010,,180,,,,,,,,,,,,,L369,
F,2,360.284,0.010,,190,,,,,,,,,,,,,L369,
F,1,366.8174,0.0010,366.8170+,12,,,102405.71,129659.50,2s2.2p4.(3P).3s,4P,5/2,2s2.2p4.(3P).4p,4D*,7/2,,,L7481,
F,2,370.453,0.010,,180,,,,,,,,,,,,,L369,
F,2,371.035,0.010,,160,,,,,,,,,,,,,L369,
F,2,373.957,0.010,,160,,,,,,,,,,,,,L369,
F,2,380.583,0.010,,140,,,,,,,,,,,,,L369,
F,2,384.709,0.010,384.7086,270,1.3e+08,D,176493.93,202480.26,2s2.2p3.(4S*).3s,5S*,2,2s2.2p3.(4S*).3p,5P,3,,"T1115CA,LS",L369,
F,2,384.999,0.010,384.9985,260,1.3e+08,D,176493.93,202460.69,2s2.2p3.(4S*).3s,5S*,2,2s2.2p3.(4S*).3p,5P,2,,"T1115CA,LS",L369,
F,2,385.167,0.010,385.1668,250,1.3e+08,D,176493.93,202449.35,2s2.2p3.(4S*).3s,5S*,2,2s2.2p3.(4S*).3p,5P,1,,"T1115CA,LS",L369,
F,1,389.8478,0.0010,389.8472+,5,,,104731.05,130374.86,2s2.2p4.(3P).3s,2P,3/2,2s2.2p4.(3P).4p,2P*,3/2,,,L7481,
F,2,389.883,0.010,,190,,,,,,,,,,,,,L369,
F,2,390.193,0.010,,180,,,,,,,,,,,,,L369,
F,2,390.382,0.010,,170,,,,,,,,,,,,,L369,
F,1,393.0689,0.0010,393.0686+,8,,,105056.28,130489.93,2s2.2p4.(3P).3s,2P,1/2,2s2.2p4.(3P).4p,2P*,1/2,,,L7481,
F,1,393.4262,0.0010,393.4252+,5,,,104731.05,130141.65,2s2.2p4.(3P).3s,2P,3/2,2s2.2p4.(3P).4p,2D*,3/2,,,L7481,
F,1,394.8563,0.0010,394.8551+,5,,,105056.28,130374.86,2s2.2p4.(3P).3s,2P,1/2,2s2.2p4.(3P).4p,2P*,3/2,,,L7481,
F,2,397.204,0.010,,150,,,,,,,,,,,,,L369,
F,2,397.267,0.010,,160,,,,,,,,,,,,,L369,
F,2,397.478,0.010,,170,,,,,,,,,,,,,L369,
F,2,402.473,0.010,402.4726,240,1.2e+08,D,182864.40,207703.79,2s2.2p3.(4S*).3s,3S*,1,2s2.2p3.(4S*).3p,3P,2,,"T1115CA,LS",L369,
F,2,402.501,0.010,402.5010,220,1.2e+08,D,182864.40,207702.04,2s2.2p3.(4S*).3s,3S*,1,2s2.2p3.(4S*).3p,3P,0,,"T1115CA,LS",L369,
F,2,402.549,0.010,402.5491,230,1.2e+08,D,182864.40,207699.07,2s2.2p3.(4S*).3s,3S*,1,2s2.2p3.(4S*).3p,3P,1,,"T1115CA,LS",L369,
F,2,408.391,0.010,,160,,,,,,,,,,,,,L369,
F,2,410.307,0.010,410.3075,190,1.54e+08,C,207699.07,232064.16,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(4S*).3d,3D*,2,,"T1115CA,LS",L369,
F,2,410.322,0.010,410.3213,170,8.5e+07,C,207699.07,232063.34,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(4S*).3d,3D*,1,,"T1115CA,LS",L369,
F,2,410.351,0.010,410.3506,200,2.05e+08,C,207703.79,232066.32,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).3d,3D*,3,,"T1115CA,LS",L369,
F,2,410.371,0.010,410.3713,180,1.14e+08,C,207702.04,232063.34,2s2.2p3.(4S*).3p,3P,0,2s2.2p3.(4S*).3d,3D*,1,,"T1115CA,LS",L369,
F,2,410.387,0.010,410.3870,170,5.1e+07,C,207703.79,232064.16,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).3d,3D*,2,,"T1115CA,LS",L369,
F,2,410.916,0.010,410.9160,170,1.6e+08,D,211866.13,236195.14,2s2.2p3.(2D*).3s,3D*,3,2s2.2p3.(2D*).3p,3D,3,,"T1115CA,LS",L369,
F,2,411.654,0.010,411.6535,160,1.2e+08,D,211887.19,236172.61,2s2.2p3.(2D*).3s,3D*,2,2s2.2p3.(2D*).3p,3D,2,,"T1115CA,LS",L369,
F,2,411.921,0.010,411.9207,150,1.3e+08,D,211900.26,236169.93,2s2.2p3.(2D*).3s,3D*,1,2s2.2p3.(2D*).3p,3D,1,,"T1115CA,LS",L369,
F,2,420.715,0.010,,140,,,,,,,,,,,,,L369,
F,2,422.516,0.010,,170w,,,,,,,,,,,,,L369,
F,2,424.412,0.010,,150w,,,,,,,,,,,,,L369,
F,2,424.623,0.010,,200,,,,,,,,,,,,,L369,
F,2,424.639,0.010,,190,,,,,,,,,,,,,L369,
F,2,424.659,0.010,,180,,,,,,,,,,,,,L369,
F,2,424.677,0.010,,170,,,,,,,,,,,,,L369,
