element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Sb,2,222.515,,,6,,,,,,,,,,,,,"L3304,L16370",
Sb,1,226.251,226.24837,0.00010,300r,,,16395.359,60580.899,5p3,2P*,1/2,5p2.(3P).6d,2D,3/2,,,L7406,
Sb,1,228.898,228.89892,0.00010,120,,,9854.018,53527.956,5p3,2D*,5/2,5p2.(3P).5d,4F,3/2,,,L7406,
Sb,1,229.344,229.34526,0.00010,150r,,,9854.018,53442.967,5p3,2D*,5/2,5p2.(3P).5d,4P,5/2,,,L7406,
Sb,1,230.646,230.63883,0.00010,300r*,,,18464.202,61808.698,5p3,2P*,3/2,5p2.(3P).5d,2D,3/2,,,L7406,
Sb,1,230.646,230.65070,0.00010,300r*,,,16395.359,59737.625,5p3,2P*,1/2,5p2.(3P).5d,2P,1/2,,,L7406,
Sb,1,231.147,231.14633,0.00010,2500r,1.69e+08,,0.000,43249.337,5p3,4S*,3/2,5p2.(3P).6s,4P,1/2,,T3880,L7406,
Sb,1,231.589,231.58800,0.00010,150,,,18464.202,61631.065,5p3,2P*,3/2,5p2.(3P).5d,2D,5/2,,,L7406,
Sb,1,237.367,237.36306,0.00010,400w,,,18464.202,60580.899,5p3,2P*,3/2,5p2.(3P).6d,2D,3/2,,,L7406,
Sb,1,238.364,238.36162,0.00010,300w,,,18464.202,60404.475,5p3,2P*,3/2,5p2.(3P).5d,,5/2,,,L7406,
Sb,1,239.522,239.52090,0.00010,100,,,16395.359,58132.656,5p3,2P*,1/2,5p2.(3P).7s,4P,1/2,,,L7406,
Sb,1,242.213,242.21310,0.00010,150,,,18464.202,59737.625,5p3,2P*,3/2,5p2.(3P).5d,2P,1/2,,,L7406,
Sb,1,242.635,242.63392,0.00010,250,,,16395.359,57597.203,5p3,2P*,1/2,5p2.(3P).5d,4D,1/2,,,L7406,
Sb,1,244.551,244.55023,0.00010,400r,,,8512.125,49391.133,5p3,2D*,3/2,5p2.(3P).6s,2P,3/2,,,L7406,
Sb,1,247.832,247.83155,0.00010,400,,,16395.359,56733.162,5p3,2P*,1/2,5p2.(3P).5d,2P,3/2,,,L7406,
Sb,1,248.044,248.04405,0.00010,150,,,16395.359,56698.608,5p3,2P*,1/2,5p2.(3P).5d,4P,1/2,,,L7406,
Sb,2,248.046,248.078+,0.009,8,,,76857.8,117155.6,5s.5p3,3P*,0,5s2.5p.8p,1P,1,,,"L3304,L16370",
Sb,3,250.771,,,5,,,,,,,,,,,,,L3303,
Sb,1,251.054,251.05259,0.00010,100,,,8512.125,48332.424,5p3,2D*,3/2,5p2.(3P).6s,4P,5/2,,,L7406,
Sb,1,252.852,252.85088,0.00010,2000r,1.77e+08,,9854.018,49391.133,5p3,2D*,5/2,5p2.(3P).6s,2P,3/2,,T3880,L7406,
Sb,2,252.8535,252.849+,0.009,15,,,72389.7,111927.1,5s2.5p.5d,1D*,2,5s2.5p.4f,3D,3,,,"L3304,L16370",
Sb,2,256.7754,256.774+,0.009,10,,,12789.8,51722.9,5s2.5p2,1D,2,5s.5p3,5S*,2,,,"L3304,L16370",
Sb,1,257.406,257.40532,0.00010,150,,,16395.359,55232.963,5p3,2P*,1/2,5p2.(1D).6s,2D,3/2,,,L7406,
Sb,3,259.013,,,15,,,,,,,,,,,,,L3303,
Sb,1,259.805,259.80480,0.00010,1500r,2.10e+07,,8512.125,46991.058,5p3,2D*,3/2,5p2.(3P).6s,2P,1/2,,T3880,L7406,
Sb,1,259.809,259.80836,0.00010,500r,,,9854.018,48332.424,5p3,2D*,5/2,5p2.(3P).6s,4P,5/2,,,L7406,
Sb,1,261.231,261.23038,0.00010,300r,,,18464.202,56733.162,5p3,2P*,3/2,5p2.(3P).5d,2P,3/2,,,L7406,
Sb,3,261.420,,,1,,,,,,,,,,,,,L3303,
Sb,3,261.717,,,12,,,,,,,,,,,,,L3303,
Sb,3,261.763,,,1,,,,,,,,,,,,,L3303,
Sb,1,265.260,265.26030,0.00010,200r,,,18464.202,56151.802,5p3,2P*,3/2,5p2.(3P).5d,4P,3/2,,,L7406,
Sb,2,265.655,265.652+,0.010,12*,,,78390.9,116022.9,5s.5p3,3P*,2,5s2.5p.5f,1F,3,,,"L3304,L16370",
Sb,2,265.655,265.654+,0.010,12*,,,67887.5,105519.3,5s.5p3,3D*,3,5s2.5p.4f,3F,4,,,"L3304,L16370",
Sb,3,266.939,,,20,,,,,,,,,,,,,L3303,
Sb,1,267.064,267.06303,0.00010,300r,,,8512.125,45945.340,5p3,2D*,3/2,5p2.(3P).6s,4P,3/2,,,L7406,
Sb,1,268.276,268.27539,0.00010,200r,,,18464.202,55728.264,5p3,2P*,3/2,5p2.(1D).6s,2D,5/2,,,L7406,
Sb,1,269.225,269.22525,0.00010,120,,,16395.359,53527.956,5p3,2P*,1/2,5p2.(3P).5d,4F,3/2,,,L7406,
Sb,1,271.890,271.88944,0.00010,150r,,,18464.202,55232.963,5p3,2P*,3/2,5p2.(1D).6s,2D,3/2,,,L7406,
Sb,1,276.995,276.99312,0.00010,400r,,,9854.018,45945.340,5p3,2D*,5/2,5p2.(3P).6s,4P,3/2,,,L7406,
Sb,3,278.587,,,5,,,,,,,,,,,,,L3303,
Sb,3,279.027,,,20,,,,,,,,,,,,,L3303,
Sb,1,285.109,285.11101,0.00006,120,,,18464.202,53527.956,5p3,2P*,3/2,5p2.(3P).5d,4F,3/2,,,"L3304,L16370",
Sb,1,287.792,287.79128,0.00010,1000r,4.24e+07,,8512.125,43249.337,5p3,2D*,3/2,5p2.(3P).6s,4P,1/2,,T3880,L7406,
Sb,2,296.610,296.604+,0.012,12,,,77726.9,111432.0,5s2.5p.5d,3F*,3,5s2.5p.4f,3G,4,,,"L3304,L16370",
Sb,2,298.0962,298.098+,0.013,15,,,78390.9,111927.1,5s.5p3,3P*,2,5s2.5p.4f,3D,3,,,"L3304,L16370",
Sb,1,302.983,302.98091,0.00010,500r,,,16395.359,49391.133,5p3,2P*,1/2,5p2.(3P).6s,2P,3/2,,,L7406,
Sb,2,303.401,,,12,,,,,,,,,,,,,"L3304,L16370",
Sb,2,304.0669,304.065+,0.013,12*,,,78390.9,111269.0,5s.5p3,3P*,2,5s2.5p.4f,3G,3,,,"L3304,L16370",
Sb,2,304.0669,304.066+,0.013,12*,,,72389.7,105267.7,5s2.5p.5d,1D*,2,5s2.5p.4f,1F,3,,,"L3304,L16370",
Sb,1,323.252,323.24948,0.00010,600r,3.07e+07,,18464.202,49391.133,5p3,2P*,3/2,5p2.(3P).6s,2P,3/2,,T3880,L7406,
Sb,2,324.1280,324.118+,0.015,20,,,81083.0,111927.1,5s2.5p.5d,3F*,4,5s2.5p.4f,3D,3,,,"L3304,L16370",
Sb,1,326.751,326.74913,0.00010,700r,4.95e+07,,16395.359,46991.058,5p3,2P*,1/2,5p2.(3P).6s,2P,1/2,,T3880,L7406,
Sb,3,333.661,,,20,,,,,,,,,,,,,L3303,
Sb,1,338.315,338.31255,0.00010,100,,,16395.359,45945.340,5p3,2P*,1/2,5p2.(3P).6s,4P,3/2,,,L7406,
Sb,2,349.846,349.845+,0.017,15,,,76691.8,105267.7,5s2.5p.5d,3F*,2,5s2.5p.4f,1F,3,,,"L3304,L16370",
Sb,3,350.407,,,50,,,,,,,,,,,,,L3303,
Sb,3,351.906,,,15,,,,,,,,,,,,,L3303,
Sb,2,352.0474,,,12,,,,,,,,,,,,,L3304,
Sb,3,353.345,,,15,,,,,,,,,,,,,L3303,
Sb,3,355.918,,,40,,,,,,,,,,,,,L3303,
Sb,3,356.625,,,40,,,,,,,,,,,,,L3303,
Sb,1,363.783,363.78226,0.00010,250,,,18464.202,45945.340,5p3,2P*,3/2,5p2.(3P).6s,4P,3/2,,,L7406,
Sb,1,372.279,372.27842,0.00010,200r,,,16395.359,43249.337,5p3,2P*,1/2,5p2.(3P).6s,4P,1/2,,,L7406,
Sb,3,373.890,,,30,,,,,,,,,,,,,L3303,
Sb,2,385.022,385.014+,0.021,20,,,67887.5,93853.2,5s.5p3,3D*,3,5s2.5p.6p,1D,2,,,"L3304,L16370",
