element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),J_i,J_k,Type,tp_ref,line_ref,
U,1,390.645,,380,,,,,,,,,L3475,
U,2,391.167,,330,,,,,,,,,L3475,
U,2,391.588,,380,,,,,,,,,L3475,
U,1,392.621,,330,,,,,,,,,L3475,
U,1,392.672,,330,,,,,,,,,L3475,
U,2,393.098,,430,,,,,,,,,L3475,
U,2,393.202,,2000,,,,,,,,,L3475,
U,2,393.538,,490,,,,,,,,,L3475,
U,2,394.048,,330,,,,,,,,,L3475,
U,1,394.382,,1200,,,,,,,,,L3475,
U,1,394.844,,300,,,,,,,,,L3475,
U,2,395.358,,300,,,,,,,,,L3475,
U,2,395.467,,360,,,,,,,,,L3475,
U,1,396.421,,350,,,,,,,,,L3475,
U,2,396.652,,600,,,,,,,,,L3475,
U,2,398.579,,1200,,,,,,,,,L3475,
U,2,399.042,,460,,,,,,,,,L3475,
U,2,399.253,,380,,,,,,,,,L3475,
U,2,399.824,,350,,,,,,,,,L3475,
U,2,400.406,,350,,,,,,,,,L3475,
U,1,400.521,,430,,,,,,,,,L3475,
U,2,401.772,,570,,,,,,,,,L3475,
U,2,401.899,,300,,,,,,,,,L3475,
U,1,404.275,,1000,,,,,,,,,L3475,
U,2,404.441,,520,,,,,,,,,L3475,
U,1,404.761,,410,,,,,,,,,L3475,
U,2,405.004,,1600,,,,,,,,,L3475,
U,2,405.191,,540,,,,,,,,,L3475,
U,2,405.430,,300,,,,,,,,,L3475,
U,2,405.819,,430,,,,,,,,,L3475,
U,2,406.254,,880,,,,,,,,,L3475,
U,2,406.775,,520,,,,,,,,,L3475,
U,2,407.112,,410,,,,,,,,,L3475,
U,2,407.448,,300,,,,,,,,,L3475,
U,2,407.669,,330,,,,,,,,,L3475,
U,2,408.060,,330,,,,,,,,,L3475,
U,2,409.013,,2200,,,,,,,,,L3475,
U,2,409.303,,460,,,,,,,,,L3475,
U,2,410.638,,380,,,,,,,,,L3475,
U,2,411.610,,810,,,,,,,,,L3475,
U,2,412.473,,410,,,,,,,,,L3475,
U,2,412.834,,410,,,,,,,,,L3475,
U,2,414.122,,460,,,,,,,,,L3475,
U,1,415.397,,880,,,,,,,,,L3475,
U,1,415.665,,380,,,,,,,,,L3475,
U,2,416.368,,350,,,,,,,,,L3475,
U,2,417.159,,1400,,,,,,,,,L3475,
U,2,418.927,,300,,,,,,,,,L3475,
U,1,422.237,,350,,,,,,,,,L3475,
U,2,424.167,,1000,,,,,,,,,L3475,
U,2,424.437,,520,,,,,,,,,L3475,
U,2,434.169,,680,,,,,,,,,L3475,
U,1,435.574,,430w,,,,,,,,,L3475,
U,1,436.205,,430,,,,,,,,,L3475,
U,1,439.359,,330,,,,,,,,,L3475,
U,2,447.233,,600,,,,,,,,,L3475,
U,2,451.528,,240,,,,,,,,,L3475,
U,2,454.363,,620,,,,,,,,,L3475,
U,1,462.021,,300,,,,,,,,,L3475,
U,2,462.707,,240,,,,,,,,,L3475,
U,1,463.162,,210,,,,,,,,,L3475,
U,2,464.660,,220,,,,,,,,,L3475,
U,2,466.685,,140,,,,,,,,,L3475,
U,2,467.140,,100,,,,,,,,,L3475,
U,2,468.907,,170,,,,,,,,,L3475,
U,2,470.251,,100,,,,,,,,,L3475,
U,2,472.272,,160,,,,,,,,,L3475,
U,2,473.159,,120,,,,,,,,,L3475,
U,2,475.574,,100,,,,,,,,,L3475,
U,1,475.681,,150,,,,,,,,,L3475,
U,2,477.270,,100,,,,,,,,,L3475,
U,2,486.099,,100,,,,,,,,,L3475,
U,2,500.821,,110,,,,,,,,,L3475,
U,1,502.738,,170,,,,,,,,,L3475,
U,2,511.724,,70,,,,,,,,,L3475,
U,2,516.032,,80,,,,,,,,,L3475,
U,1,516.414,,55,,,,,,,,,L3475,
U,2,518.457,,55,,,,,,,,,L3475,
U,2,520.431,,45,,,,,,,,,L3475,
U,2,524.775,,45,,,,,,,,,L3475,
U,2,525.704,,45,,,,,,,,,L3475,
U,1,528.038,,70,,,,,,,,,L3475,
U,2,538.619,,55,,,,,,,,,L3475,
U,2,547.570,,80,,,,,,,,,L3475,
U,2,548.026,,70,,,,,,,,,L3475,
U,2,548.120,,70,,,,,,,,,L3475,
U,2,548.253,,45,,,,,,,,,L3475,
U,2,549.295,,160,,,,,,,,,L3475,
U,2,552.782,,70,,,,,,,,,L3475,
U,1,556.417,,70,,,,,,,,,L3475,
U,2,558.159,,45,,,,,,,,,L3475,
U,1,562.078,,55,,,,,,,,,L3475,
