element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Mg,1,804.773,804.7720,0.0010,3bl,3.53e+05,E,47841.119,60263.583,3s.4p,3P*,0,3s.9d,3D,1,,"T6298c72,LS",L6095,
Mg,1,804.9854,804.9855,0.0010,5,4.78e+05,D,47844.414,60263.583,3s.4p,3P*,1,3s.9d,3D,2,,"T6298c72,LS",L6095,
Mg,1,805.4232,805.4231,0.0010,7,6.36e+05,D,47851.162,60263.583,3s.4p,3P*,2,3s.9d,3D,3,,"T6298c72,LS",L6095,
Mg,1,809.8724,809.8707,0.0010,10*,6.82e+05,D,47957.027,60301.283,3s.3d,3D,2,3s.9f,3F*,3,,"T6298c72,LS",L6095,
Mg,1,809.8724,809.8719,0.0010,10*,7.68e+05,D+,47957.045,60301.283,3s.3d,3D,3,3s.9f,3F*,4,,"T6298c72,LS",L6095,
Mg,1,809.8724,809.8727,0.0010,10*,6.46e+05,D,47957.058,60301.283,3s.3d,3D,1,3s.9f,3F*,2,,"T6298c72,LS",L6095,
Mg,2,811.5220,811.5225,0.0010,9,1.22e+06,A,93310.59,105629.72,2p6.4d,2D,5/2,2p6.6p,2P*,3/2,,c31,L7414,
Mg,2,812.0434,812.0432,0.0010,8,1.34e+06,A,93311.11,105622.34,2p6.4d,2D,3/2,2p6.6p,2P*,1/2,,c31,L7414,
Mg,1,815.4644,815.4640,0.0010,1,,,47844.414,60104.00,3s.4p,3P*,1,3s.10s,3S,1,,,L6095,
Mg,1,815.9132,815.9131,0.0010,2,,,47851.162,60104.00,3s.4p,3P*,2,3s.10s,3S,1,,,L6095,
Mg,1,820.9839,820.9835,0.0010,10,1.81e+05,C,46403.065,58580.23,3s.3d,1D,2,3s.7p,1P*,1,,T5539,L6095,
Mg,1,821.3034,821.3041,0.0010,20,4.38e+06,B+,46403.065,58575.477,3s.3d,1D,2,3s.6f,1F*,3,,T5539,L6095,
